inventory_id,vehicle_id,dealership_id,status
I0103,V0103,D001,IN_STOCK
I0104,V0104,D013,IN_TRANSIT
I0105,V0105,D014,IN_TRANSIT
I0106,V0106,D007,IN_TRANSIT
I0107,V0107,D006,IN_TRANSIT
I0108,V0108,D003,IN_STOCK
I0109,V0109,D017,IN_STOCK
I0110,V0110,D013,IN_TRANSIT
I0111,V0111,D018,IN_TRANSIT
I0112,V0112,D012,SOLD
I0113,V0113,D003,IN_TRANSIT
I0114,V0114,D008,SOLD
I0115,V0115,D013,IN_TRANSIT
I0116,V0116,D013,SOLD
I0117,V0117,D019,SOLD
I0118,V0118,D018,SOLD
I0119,V0119,D017,IN_STOCK
I0120,V0120,D015,SOLD
I0121,V0121,D009,IN_TRANSIT
I0122,V0122,D011,IN_TRANSIT
I0123,V0123,D018,IN_TRANSIT
I0124,V0124,D013,IN_STOCK
I0125,V0125,D003,SOLD
I0126,V0126,D018,IN_TRANSIT
I0127,V0127,D019,IN_TRANSIT
I0128,V0128,D017,SOLD
I0129,V0129,D002,SOLD
I0130,V0130,D020,IN_STOCK
I0131,V0131,D014,SOLD
I0132,V0132,D017,SOLD
I0133,V0133,D018,IN_TRANSIT
I0134,V0134,D005,IN_TRANSIT
I0135,V0135,D012,SOLD
I0136,V0136,D008,SOLD
I0137,V0137,D006,IN_STOCK
I0138,V0138,D012,IN_STOCK
I0139,V0139,D017,IN_STOCK
I0140,V0140,D010,IN_TRANSIT
I0141,V0141,D014,IN_TRANSIT
I0142,V0142,D014,IN_STOCK
I0143,V0143,D017,SOLD
I0144,V0144,D006,SOLD
I0145,V0145,D009,SOLD
I0146,V0146,D010,IN_TRANSIT
I0147,V0147,D001,SOLD
I0148,V0148,D007,SOLD
I0149,V0149,D004,SOLD
I0150,V0150,D015,IN_TRANSIT
I0151,V0151,D007,IN_STOCK
I0152,V0152,D017,SOLD
I0153,V0153,D020,IN_TRANSIT
I0154,V0154,D017,IN_STOCK
I0155,V0155,D020,IN_STOCK
I0156,V0156,D017,SOLD
I0157,V0157,D015,SOLD
I0158,V0158,D011,SOLD
I0159,V0159,D010,SOLD
I0160,V0160,D003,IN_TRANSIT
I0161,V0161,D011,IN_TRANSIT
I0162,V0162,D002,IN_STOCK
I0163,V0163,D013,IN_TRANSIT
I0164,V0164,D018,IN_TRANSIT
I0165,V0165,D008,SOLD
I0166,V0166,D012,SOLD
I0167,V0167,D006,SOLD
I0168,V0168,D011,SOLD
I0169,V0169,D010,IN_STOCK
I0170,V0170,D008,SOLD
I0171,V0171,D011,IN_STOCK
I0172,V0172,D019,IN_TRANSIT
I0173,V0173,D010,SOLD
I0174,V0174,D006,IN_STOCK
I0175,V0175,D007,IN_TRANSIT
I0176,V0176,D008,IN_STOCK
I0177,V0177,D019,SOLD
I0178,V0178,D008,IN_STOCK
I0179,V0179,D010,SOLD
I0180,V0180,D001,IN_TRANSIT
I0181,V0181,D004,IN_STOCK
I0182,V0182,D010,IN_STOCK
I0183,V0183,D020,IN_STOCK
I0184,V0184,D012,IN_TRANSIT
I0185,V0185,D020,IN_TRANSIT
I0186,V0186,D017,IN_STOCK
I0187,V0187,D004,SOLD
I0188,V0188,D002,SOLD
I0189,V0189,D002,IN_STOCK
I0190,V0190,D001,IN_STOCK
I0191,V0191,D020,IN_TRANSIT
I0192,V0192,D006,IN_STOCK
I0193,V0193,D014,IN_STOCK
I0194,V0194,D014,IN_STOCK
I0195,V0195,D015,IN_STOCK
I0196,V0196,D006,IN_STOCK
I0197,V0197,D017,SOLD
I0198,V0198,D019,IN_TRANSIT
I0199,V0199,D020,IN_STOCK
I0200,V0200,D010,IN_STOCK
I0201,V0201,D008,IN_TRANSIT
I0202,V0202,D019,IN_STOCK
I0203,V0203,D013,SOLD
I0204,V0204,D015,IN_TRANSIT
I0205,V0205,D004,IN_TRANSIT
I0206,V0206,D002,SOLD
I0207,V0207,D001,IN_TRANSIT
I0208,V0208,D015,IN_STOCK
I0209,V0209,D017,SOLD
I0210,V0210,D008,IN_TRANSIT
I0211,V0211,D013,SOLD
I0212,V0212,D009,SOLD
I0213,V0213,D002,IN_STOCK
I0214,V0214,D002,SOLD
I0215,V0215,D002,IN_TRANSIT
I0216,V0216,D004,SOLD
I0217,V0217,D008,IN_TRANSIT
I0218,V0218,D001,SOLD
I0219,V0219,D006,SOLD
I0220,V0220,D015,IN_TRANSIT
I0221,V0221,D008,IN_STOCK
I0222,V0222,D012,SOLD
I0223,V0223,D016,IN_STOCK
I0224,V0224,D010,SOLD
I0225,V0225,D006,SOLD
I0226,V0226,D009,IN_TRANSIT
I0227,V0227,D015,IN_STOCK
I0228,V0228,D014,IN_TRANSIT
I0229,V0229,D002,SOLD
I0230,V0230,D004,IN_STOCK
I0231,V0231,D017,SOLD
I0232,V0232,D007,IN_STOCK
I0233,V0233,D005,IN_TRANSIT
I0234,V0234,D016,IN_TRANSIT
I0235,V0235,D008,SOLD
I0236,V0236,D017,SOLD
I0237,V0237,D011,SOLD
I0238,V0238,D007,IN_STOCK
I0239,V0239,D008,IN_TRANSIT
I0240,V0240,D006,IN_STOCK
I0241,V0241,D013,IN_TRANSIT
I0242,V0242,D018,SOLD
I0243,V0243,D018,SOLD
I0244,V0244,D002,IN_STOCK
I0245,V0245,D006,IN_STOCK
I0246,V0246,D013,SOLD
I0247,V0247,D016,IN_TRANSIT
I0248,V0248,D017,SOLD
I0249,V0249,D019,IN_TRANSIT
I0250,V0250,D009,SOLD
I0251,V0251,D019,IN_TRANSIT
I0252,V0252,D018,IN_TRANSIT
I0253,V0253,D004,SOLD
I0254,V0254,D017,IN_STOCK
I0255,V0255,D004,IN_STOCK
I0256,V0256,D005,SOLD
I0257,V0257,D016,IN_STOCK
I0258,V0258,D019,SOLD
I0259,V0259,D010,IN_STOCK
I0260,V0260,D009,IN_TRANSIT
I0261,V0261,D006,SOLD
I0262,V0262,D006,IN_STOCK
I0263,V0263,D019,IN_TRANSIT
I0264,V0264,D019,SOLD
I0265,V0265,D020,IN_STOCK
I0266,V0266,D018,SOLD
I0267,V0267,D018,IN_STOCK
I0268,V0268,D019,SOLD
I0269,V0269,D014,SOLD
I0270,V0270,D019,IN_TRANSIT
I0271,V0271,D014,SOLD
I0272,V0272,D011,IN_TRANSIT
I0273,V0273,D013,SOLD
I0274,V0274,D008,IN_TRANSIT
I0275,V0275,D017,SOLD
I0276,V0276,D015,IN_TRANSIT
I0277,V0277,D019,IN_STOCK
I0278,V0278,D014,SOLD
I0279,V0279,D009,SOLD
I0280,V0280,D017,IN_STOCK
I0281,V0281,D014,IN_STOCK
I0282,V0282,D001,IN_TRANSIT
I0283,V0283,D006,IN_STOCK
I0284,V0284,D019,IN_TRANSIT
I0285,V0285,D011,IN_STOCK
I0286,V0286,D007,SOLD
I0287,V0287,D011,IN_TRANSIT
I0288,V0288,D019,IN_STOCK
I0289,V0289,D011,IN_TRANSIT
I0290,V0290,D006,IN_TRANSIT
I0291,V0291,D013,SOLD
I0292,V0292,D008,IN_STOCK
I0293,V0293,D007,IN_STOCK
I0294,V0294,D008,IN_TRANSIT
I0295,V0295,D012,IN_TRANSIT
I0296,V0296,D003,IN_TRANSIT
I0297,V0297,D017,IN_STOCK
I0298,V0298,D010,IN_STOCK
I0299,V0299,D014,IN_TRANSIT
I0300,V0300,D015,SOLD
