service_id,vehicle_id,service_type,service_date,cost_usd
S0056,V0056,Oil change,2025-12-08,1248
S0057,V0057,Inspection,2025-07-22,288
S0058,V0058,Tire rotation,2025-01-08,1307
S0059,V0059,Inspection,2025-12-08,1532
S0060,V0060,Brake service,2025-04-25,479
S0061,V0061,Inspection,2025-08-14,1027
S0062,V0062,Inspection,2025-04-25,689
S0063,V0063,Brake service,2025-05-22,413
S0064,V0064,Inspection,2025-05-27,191
S0065,V0065,Brake service,2025-08-08,1285
S0066,V0066,Inspection,2025-12-14,780
S0067,V0067,Oil change,2025-11-01,1084
S0068,V0068,Oil change,2025-02-12,1326
S0069,V0069,Oil change,2025-11-03,1206
S0070,V0070,Oil change,2025-12-04,1300
S0071,V0071,Inspection,2025-12-12,364
S0072,V0072,Oil change,2025-08-12,827
S0073,V0073,Brake service,2025-09-05,388
S0074,V0074,Brake service,2025-10-17,901
S0075,V0075,Oil change,2025-03-14,1175
S0076,V0076,Brake service,2025-04-10,1589
S0077,V0077,Inspection,2025-02-20,730
S0078,V0078,Inspection,2025-09-04,670
S0079,V0079,Oil change,2025-06-25,418
S0080,V0080,Tire rotation,2025-01-23,318
S0081,V0081,Oil change,2025-06-15,1065
S0082,V0082,Oil change,2025-04-19,1269
S0083,V0083,Brake service,2025-06-23,366
S0084,V0084,Inspection,2025-11-17,420
S0085,V0085,Oil change,2025-08-10,718
S0086,V0086,Tire rotation,2025-10-26,401
S0087,V0087,Tire rotation,2025-05-10,778
S0088,V0088,Brake service,2025-03-21,1229
S0089,V0089,Tire rotation,2025-10-16,1395
S0090,V0090,Brake service,2025-03-14,218
S0091,V0091,Brake service,2025-12-27,1326
S0092,V0092,Inspection,2025-01-23,689
S0093,V0093,Brake service,2025-09-28,707
S0094,V0094,Tire rotation,2025-03-17,1329
S0095,V0095,Brake service,2025-06-01,298
S0096,V0096,Oil change,2025-02-22,1476
S0097,V0097,Inspection,2025-12-09,515
S0098,V0098,Inspection,2025-05-18,1178
S0099,V0099,Inspection,2025-09-26,912
S0100,V0100,Brake service,2025-11-02,471
S0101,V0101,Oil change,2025-01-11,81
S0102,V0102,Oil change,2025-07-14,1447
S0103,V0103,Brake service,2025-07-04,191
S0104,V0104,Oil change,2025-01-26,498
S0105,V0105,Tire rotation,2025-05-12,1563
S0106,V0106,Brake service,2025-03-12,1032
S0107,V0107,Inspection,2025-02-17,1550
S0108,V0108,Inspection,2025-04-07,147
S0109,V0109,Brake service,2025-03-03,733
S0110,V0110,Brake service,2025-12-26,362
S0111,V0111,Tire rotation,2025-05-02,291
S0112,V0112,Brake service,2025-06-25,310
S0113,V0113,Inspection,2025-10-15,1454
S0114,V0114,Oil change,2025-07-20,1375
S0115,V0115,Tire rotation,2025-10-06,738
S0116,V0116,Tire rotation,2025-05-21,1344
S0117,V0117,Inspection,2025-12-02,1029
S0118,V0118,Oil change,2025-11-17,852
S0119,V0119,Inspection,2025-01-01,1279
S0120,V0120,Oil change,2025-02-20,182
S0121,V0121,Tire rotation,2025-07-20,227
S0122,V0122,Tire rotation,2025-10-25,379
S0123,V0123,Inspection,2025-08-21,679
S0124,V0124,Oil change,2025-10-03,884
S0125,V0125,Brake service,2025-05-13,1265
S0126,V0126,Brake service,2025-05-01,347
S0127,V0127,Brake service,2025-11-03,1356
S0128,V0128,Inspection,2025-09-26,615
S0129,V0129,Inspection,2025-05-13,1062
S0130,V0130,Tire rotation,2025-02-01,1303
S0131,V0131,Inspection,2025-05-25,754
S0132,V0132,Tire rotation,2025-08-28,1512
S0133,V0133,Oil change,2025-07-16,843
S0134,V0134,Tire rotation,2025-02-26,237
S0135,V0135,Inspection,2025-05-06,118
S0136,V0136,Tire rotation,2025-03-19,762
S0137,V0137,Oil change,2025-05-10,400
S0138,V0138,Tire rotation,2025-04-26,1542
S0139,V0139,Brake service,2025-02-02,945
S0140,V0140,Oil change,2025-01-21,1043
S0141,V0141,Brake service,2025-03-28,812
S0142,V0142,Oil change,2025-04-07,614
S0143,V0143,Brake service,2025-10-04,665
S0144,V0144,Brake service,2025-12-05,1080
S0145,V0145,Tire rotation,2025-03-04,1450
S0146,V0146,Tire rotation,2025-07-10,1482
S0147,V0147,Oil change,2025-07-06,1462
S0148,V0148,Tire rotation,2025-03-23,265
S0149,V0149,Oil change,2025-07-16,534
S0150,V0150,Oil change,2025-09-01,1312
S0151,V0151,Inspection,2025-05-02,1259
S0152,V0152,Brake service,2025-08-05,222
S0153,V0153,Inspection,2025-06-16,936
S0154,V0154,Oil change,2025-02-07,858
S0155,V0155,Tire rotation,2025-07-21,513
S0156,V0156,Inspection,2025-12-28,1173
S0157,V0157,Brake service,2025-08-24,1119
S0158,V0158,Tire rotation,2025-02-12,1336
S0159,V0159,Inspection,2025-10-13,526
S0160,V0160,Tire rotation,2025-08-03,615
S0161,V0161,Brake service,2025-10-03,169
S0162,V0162,Inspection,2025-02-11,971
S0163,V0163,Tire rotation,2025-09-12,916
S0164,V0164,Tire rotation,2025-10-11,951
S0165,V0165,Inspection,2025-01-09,1089
S0166,V0166,Tire rotation,2025-07-03,1173
S0167,V0167,Tire rotation,2025-04-11,1568
S0168,V0168,Tire rotation,2025-04-12,1046
S0169,V0169,Brake service,2025-02-05,801
S0170,V0170,Inspection,2025-04-15,495
S0171,V0171,Oil change,2025-09-25,363
S0172,V0172,Oil change,2025-11-14,1097
S0173,V0173,Inspection,2025-02-08,439
S0174,V0174,Oil change,2025-12-04,507
S0175,V0175,Tire rotation,2025-07-15,882
S0176,V0176,Tire rotation,2025-01-28,900
S0177,V0177,Brake service,2025-12-18,711
S0178,V0178,Tire rotation,2025-04-15,1431
S0179,V0179,Brake service,2025-12-19,418
S0180,V0180,Inspection,2025-03-14,1232
S0181,V0181,Inspection,2025-06-06,702
S0182,V0182,Oil change,2025-05-03,829
S0183,V0183,Tire rotation,2025-06-19,704
S0184,V0184,Brake service,2025-04-14,383
S0185,V0185,Tire rotation,2025-02-13,1186
S0186,V0186,Inspection,2025-04-15,663
S0187,V0187,Brake service,2025-05-26,999
S0188,V0188,Inspection,2025-12-26,768
S0189,V0189,Brake service,2025-11-15,141
S0190,V0190,Inspection,2025-09-27,839
S0191,V0191,Tire rotation,2025-06-13,372
S0192,V0192,Brake service,2025-09-10,589
S0193,V0193,Inspection,2025-06-13,1524
S0194,V0194,Brake service,2025-10-03,1428
S0195,V0195,Oil change,2025-05-12,571
S0196,V0196,Oil change,2025-11-03,1072
S0197,V0197,Tire rotation,2025-08-01,1199
S0198,V0198,Oil change,2025-12-25,1174
S0199,V0199,Oil change,2025-01-12,574
S0200,V0200,Brake service,2025-03-13,1581
S0201,V0201,Brake service,2025-06-10,151
S0202,V0202,Brake service,2025-10-22,1359
S0203,V0203,Oil change,2025-07-26,883
S0204,V0204,Brake service,2025-10-04,1234
S0205,V0205,Oil change,2025-03-07,168
S0206,V0206,Oil change,2025-02-04,615
S0207,V0207,Brake service,2025-06-21,660
S0208,V0208,Inspection,2025-01-21,306
S0209,V0209,Brake service,2025-06-20,1102
S0210,V0210,Inspection,2025-12-06,565
S0211,V0211,Inspection,2025-02-01,1273
S0212,V0212,Oil change,2025-04-15,157
S0213,V0213,Oil change,2025-04-24,666
S0214,V0214,Brake service,2025-08-17,1376
S0215,V0215,Oil change,2025-06-04,320
S0216,V0216,Brake service,2025-07-27,937
S0217,V0217,Tire rotation,2025-07-21,1391
S0218,V0218,Brake service,2025-05-21,754
S0219,V0219,Inspection,2025-01-27,687
S0220,V0220,Oil change,2025-01-08,580
S0221,V0221,Brake service,2025-11-07,129
S0222,V0222,Tire rotation,2025-11-21,611
S0223,V0223,Tire rotation,2025-05-14,595
S0224,V0224,Oil change,2025-06-08,1459
S0225,V0225,Tire rotation,2025-05-04,1599
S0226,V0226,Inspection,2025-07-06,307
S0227,V0227,Tire rotation,2025-07-28,125
S0228,V0228,Brake service,2025-11-17,236
S0229,V0229,Oil change,2025-01-04,669
S0230,V0230,Inspection,2025-07-25,1171
S0231,V0231,Oil change,2025-03-10,1500
S0232,V0232,Oil change,2025-05-28,1200
S0233,V0233,Brake service,2025-09-10,146
S0234,V0234,Inspection,2025-04-28,334
S0235,V0235,Inspection,2025-05-02,744
S0236,V0236,Brake service,2025-12-08,731
S0237,V0237,Oil change,2025-04-22,484
S0238,V0238,Oil change,2025-03-10,1167
S0239,V0239,Oil change,2025-04-07,1588
S0240,V0240,Inspection,2025-09-10,658
S0241,V0241,Oil change,2025-11-26,1526
S0242,V0242,Tire rotation,2025-05-16,432
S0243,V0243,Inspection,2025-12-06,903
S0244,V0244,Inspection,2025-01-07,1269
S0245,V0245,Tire rotation,2025-05-11,1347
S0246,V0246,Tire rotation,2025-03-27,1258
S0247,V0247,Inspection,2025-04-17,638
S0248,V0248,Tire rotation,2025-09-20,311
S0249,V0249,Tire rotation,2025-01-24,1021
S0250,V0250,Oil change,2025-05-25,999
S0251,V0251,Tire rotation,2025-11-12,618
S0252,V0252,Oil change,2025-08-05,140
S0253,V0253,Inspection,2025-10-27,1508
S0254,V0254,Oil change,2025-11-11,271
S0255,V0255,Brake service,2025-06-26,657
S0256,V0256,Brake service,2025-05-05,1083
S0257,V0257,Tire rotation,2025-12-12,1130
S0258,V0258,Oil change,2025-12-01,883
S0259,V0259,Tire rotation,2025-05-07,537
S0260,V0260,Brake service,2025-06-27,718
S0261,V0261,Inspection,2025-11-22,723
S0262,V0262,Oil change,2025-05-14,1131
S0263,V0263,Tire rotation,2025-09-04,1497
S0264,V0264,Tire rotation,2025-09-08,1065
S0265,V0265,Inspection,2025-10-02,336
S0266,V0266,Brake service,2025-06-17,1038
S0267,V0267,Brake service,2025-01-15,1562
S0268,V0268,Brake service,2025-07-01,1518
S0269,V0269,Tire rotation,2025-02-18,269
S0270,V0270,Inspection,2025-06-21,983
S0271,V0271,Inspection,2025-07-15,199
S0272,V0272,Inspection,2025-01-02,1534
S0273,V0273,Inspection,2025-10-23,979
S0274,V0274,Brake service,2025-06-06,655
S0275,V0275,Inspection,2025-12-22,710
S0276,V0276,Brake service,2025-09-10,991
S0277,V0277,Brake service,2025-06-27,98
S0278,V0278,Inspection,2025-12-12,438
S0279,V0279,Inspection,2025-05-16,1586
S0280,V0280,Oil change,2025-06-02,1396
S0281,V0281,Oil change,2025-10-08,171
S0282,V0282,Tire rotation,2025-04-19,616
S0283,V0283,Oil change,2025-10-11,1062
S0284,V0284,Inspection,2025-08-24,1496
S0285,V0285,Brake service,2025-05-10,924
S0286,V0286,Brake service,2025-11-03,1158
S0287,V0287,Inspection,2025-08-26,781
S0288,V0288,Tire rotation,2025-11-17,621
S0289,V0289,Brake service,2025-03-18,1280
S0290,V0290,Oil change,2025-05-26,1286
S0291,V0291,Tire rotation,2025-09-06,1526
S0292,V0292,Brake service,2025-02-20,852
S0293,V0293,Oil change,2025-04-12,1037
S0294,V0294,Inspection,2025-07-26,797
S0295,V0295,Inspection,2025-09-18,565
S0296,V0296,Inspection,2025-01-22,1295
S0297,V0297,Brake service,2025-01-25,1097
S0298,V0298,Tire rotation,2025-08-23,265
S0299,V0299,Brake service,2025-11-13,1010
S0300,V0300,Tire rotation,2025-10-20,1033
